game_id,event_id,period,clock,description,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,landing_foul,note,timestamp
0022300645,540,4,PT10M11.00S,"VanVleet S.FOUL (P5.T2) (S.Wall)","C. Thomas",BKN,"F. VanVleet",HOU,S.Wall,NO,"Pumps VavVleet into the air and jumps into him for the foul",2026-06-29T14:44:24.117Z
0022400466,117,1,PT02M14.00S,"Mitchell S.FOUL (P1.T3) (J.Williams)","K. Porter Jr.",LAC,"A. Mitchell",OKC,J.Williams,YES,"",2026-06-29T14:44:35.067Z
0022300598,175,2,PT11M42.00S,"Tate S.FOUL (P1.T1) (M.Myers)","J. Clarkson",UTA,"J. Tate",HOU,M.Myers,YES,"",2026-06-29T14:44:43.176Z
0022100645,371,3,PT08M16.00S,"Curry S.FOUL (P2.T1) (B.Schwab)","M. Strus",MIA,"S. Curry",PHI,B.Schwab,YES,"",2026-06-29T14:45:00.525Z
0022100115,32,1,PT09M22.00S,"Okogie S.FOUL (P1.T1) (M.Davis)","P. George",LAC,"J. Okogie",MIN,M.Davis,NO,"Contest",2026-06-29T14:45:12.624Z
0022200286,351,3,PT08M56.00S,"Boucher S.FOUL (P1.T2) (B.Barnaky)","D. Finney-Smith",DAL,"C. Boucher",TOR,B.Barnaky,UNCLEAR,"This clip does not show a shooting foul",2026-06-29T14:45:44.255Z
0022301155,667,4,PT00M36.10S,"Spencer S.FOUL (P1.PN) (J.Goldenberg)","M. Lewis",LAL,"P. Spencer",GSW,J.Goldenberg,YES,"",2026-06-29T14:46:14.053Z
0022100697,11,1,PT11M14.00S,"Bridges S.FOUL (P1.T1) (J.DeRosa)","J. Holiday",IND,"M. Bridges",PHX,J.DeRosa,YES,"",2026-06-29T14:46:41.280Z
0022200322,167,2,PT11M13.00S,"Batum S.FOUL (P1.T1) (S.Mitchell)","L. Markkanen",UTA,"N. Batum",LAC,S.Mitchell,YES,"",2026-06-29T14:46:50.242Z
0022200656,539,4,PT08M40.00S,"Smith Jr. S.FOUL (P3.T4) (Z.Zarba)","D. White",BOS,"D. Smith Jr.",CHA,Z.Zarba,YES,"",2026-06-29T14:46:57.345Z
0022200150,444,3,PT00M00.10S,"Vincent S.FOUL (P3.PN) (P.Ransom)","J. Hart",POR,"G. Vincent",MIA,P.Ransom,NO,"Contest",2026-06-29T14:47:08.348Z
0022000436,508,4,PT09M02.00S,"Gibson S.FOUL (P2.T1) (J.Conley)","T. Ross",ORL,"T. Gibson",NYK,J.Conley,YES,"",2026-06-29T14:47:17.551Z
0022001016,252,2,PT03M46.00S,"Brooks S.FOUL (P2.PN) (M.Davis)","J. Clarkson",UTA,"A. Brooks",HOU,M.Davis,YES,"",2026-06-29T14:47:50.305Z
0022400885,306,2,PT00M49.90S,"Hield S.FOUL (P1.PN) (C.Washington)","J. Brunson",NYK,"B. Hield",GSW,C.Washington,UNCLEAR,"The clip doesn't show the foul",2026-06-29T14:48:21.104Z
0022200807,585,4,PT06M32.00S,"Jones S.FOUL (P2.T4) (N.Green)","K. Ellis",SAC,"H. Jones",NOP,N.Green,YES,"",2026-06-29T14:48:34.248Z
0022401038,561,4,PT05M39.00S,"Caldwell-Pope S.FOUL (P2.PN) (J.Goble)","L. Dončić",LAL,"K. Caldwell-Pope",ORL,J.Goble,YES,"",2026-06-29T14:48:45.937Z
0022200665,359,3,PT10M08.00S,"VanVleet S.FOUL (P2.T1) (B.Kennedy)","G. Allen",MIL,"F. VanVleet",TOR,B.Kennedy,YES,"",2026-06-29T14:48:52.348Z
0022400482,572,4,PT05M29.00S,"Hart S.FOUL (P3.T3) (J.Goldenberg)","Z. LaVine",CHI,"J. Hart",NYK,J.Goldenberg,NO,"Contest",2026-06-29T14:49:04.128Z
0021900806,642,4,PT03M09.00S,"Walker S.FOUL (P3.PN) (J.Tiven)","J. Harden",HOU,"K. Walker",BOS,J.Tiven,YES,"",2026-06-29T14:49:25.104Z
